sentence1,sentence2,score
"प्यालेस्टिनी भोक हडताल, इजरायल सम्झौतामा पुग्यो",इजरायली आक्रमणमा प्यालेस्टिनी कार्यकर्ता पक्राउ परेका छन्,1.2
असदले सिरियाले राष्ट्रसंघीय हतियार प्रस्तावको पालना गर्ने बताएका छन्,सिरियाका असदले संयुक्त राष्ट्रसंघको प्रस्ताव पालना गर्ने वाचा गरेका छन्,4.8
दक्षिण कोरियाली राष्ट्रपतिले फेरी प्रतिक्रियाको लागि माफी मागे,दक्षिण कोरियाली राष्ट्रपतिले डुंगा दुर्घटनाप्रति 'माफी मागे',4.6
खाद्यान्नको मूल्यवृद्धिले इरानमा चिन्ता बढाएको छ,अमेरिकी क्रिस हर्नरले टूर अफ स्पेन जितेका छन्,0.0
ओबामाले सिरिया स्वीकृतिको अन्तिम मिनेटमा निर्णय गरे,ओबामाले सिरियामा सीमित सैन्य कारबाही गर्ने सोच बनाएका छन्,2.0
"चालक बच्चाको साथ स्ट्रोलरमा फर्कन्छ, ड्राइभ छोड्छ","ड्राइभर आमामा फर्कन्छ, बच्चाको साथ घुमक्कड त्यसपछि ड्राइभ गर्छ",4.0
स्पेनकी राजकुमारीले ऐतिहासिक धोखाधडी अनुसन्धानमा गवाही दिए,स्पेनकी राजकुमारीले ऐतिहासिक धोखाधडी अनुसन्धानमा गवाही दिएकी छन्,5.0
सिनेटले प्रमुख पुनरावेदन अदालतमा ओबामाको मनोनयनलाई पुष्टि गरेको छ,सिनेटले प्रमुख पुनरावेदन अदालतमा ओबामाको मनोनयनलाई अनुमोदन गरेको छ,5.0
संयुक्त राष्ट्र अधिकार प्रमुखले मुर्सी हिरासतमा इजिप्टलाई दबाब दिए,संयुक्त राष्ट्र अधिकार प्रमुखले मोर्सी हिरासतमा इजिप्टलाई दबाब दिए,5.0
अमेरिकी सिनेटले जेनेट येलेनलाई अमेरिकी फेडरल रिजर्भ प्रमुखमा नियुक्त गरेको छ,सिनेटले जेनेट येलेनलाई फेडरल रिजर्वको अर्को अध्यक्षको रूपमा पुष्टि गरेको छ,5.0
सिरियाली विद्रोही समूह उत्तरमा आपसमा लडिरहेका छन्,सिरियाली विद्रोही समूहहरू उत्तरमा आपसमा लडिरहेका छन्,5.0
मायावतीले कश्मीरमा राष्ट्रपति शासनको माग गरेकी छन्,मायावतीले जम्मू कश्मीरमा राष्ट्रपति शासनको माग गरेकी छिन्,3.0
युगान्डाका राष्ट्रपतिले समलिङ्गी विरोधी विधेयकमा हस्ताक्षर गरेका छन्,युगान्डाका राष्ट्रपतिले समलिङ्गी विरुद्धको कडा कानुनमा हस्ताक्षर गरेका छन्,4.0
"चट्टान, अश्रु ग्यास उड्यो जब थाई आन्दोलन चर्कियो","थाइल्याण्डमा आन्दोलन चर्किँदा ढुंगा, अश्रुग्यास उड्यो",5.0
बोस्टन बम आक्रमणका संदिग्धलाई भर्जिनियामा गाडिएको छ,बोस्टन बम आक्रमणकारीलाई भर्जिनियाको चिहानमा गाडिएको छ,5.0
फिलिपिन्समा रेस्टुरेन्टमा विस्फोट हुँदा ६ जनाको मृत्यु भएको छ,फिलिपिन्समा रेस्टुरेन्टमा विस्फोट हुँदा ६ जनाको मृत्यु भएको छ,5.0
चिनियाँ सेनाको अखबारले अमेरिकाको PRISM कार्यक्रमलाई बाहिर निकाल्यो,चिनियाँ सेनाको अखबारले अमेरिकाको PRISM कार्यक्रमको आलोचना गरेको छ,5.0
सिल्भियो बर्लुस्कोनीलाई इटालीको संसदबाट निष्कासन गरिएको छ,सिल्भियो बर्लुस्कोनी संसदबाट निष्कासित,4.0
बहराइनमा कार विस्फोट हुँदा दुई जनाको मृत्यु भएको छ,बहराइनमा कार विस्फोट हुँदा दुई जनाको मृत्यु भएको छ,5.0
रुसले युक्रेनको स्वार्थमाथि आक्रमण गरे जवाफ दिने चेतावनी दिएको छ,रुसले युक्रेनका हितमा आक्रमण गरे ‘जवाफ दिने’ चेतावनी दिएको छ,5.0
होस्नी मुबारकको पुनः सुनुवाइ जुन ८ सम्मका लागि स्थगित भएको छ,मुबारकको पुनः सुनुवाइ जुनमा स्थगित भएको छ,4.0
इजिप्टका प्रदर्शनकारीहरूले धर्ना समाप्त गर्ने क्याबिनेटको धम्कीलाई अस्वीकार गरे,इजिप्टका प्रदर्शनकारीहरूले क्याबिनेटको धम्कीलाई अस्वीकार गरे,4.0
बेलायतको पहिलो साइनोलोजी विवाहमा जोडीले विवाह गरेका छन्,बेलायतको पहिलो साइनोलोजी विवाहमा जोडीले विवाह गरे,5.0
कतारका अमिरले छोरालाई सत्ता हस्तान्तरण गरेका छन्,कतारी अमिरले छोरा तमिमलाई सत्ता हस्तान्तरण गरेका छन्,4.0
फिलिपिन्समा आँधीका कारण मृत्यु हुनेको संख्या ७ हजार नाघेको आशंका गरिएको छ,फिलिपिन्समा आँधीका कारण मृत्यु हुनेको संख्या ५ हजार नाघेको छ,3.0
इजिप्ट नरसंहार पछि 'क्रोधको शुक्रवार' को लागि ब्रेस,इजिप्ट रक्तपातपूर्ण क्र्याकडाउन पछि क्रोधको शुक्रबारको लागि ब्रेस,4.0
रेड सोक्सले टाइगर्सलाई ५-२ ले हराएर वर्ल्ड सिरिजमा अग्रता लिएको छ,रेड सोक्सले टाइगर्सलाई हराउँदै विश्व शृङ्खलामा पुगेको छ,4.0
चीनले चन्द्रमामा जेड र्याबिट रोबोट रोभर अवतरण गरेको छ,चीनले चन्द्रमामा रोबोट रोभर अवतरण गरेको छ,4.0
युक्रेनी संसदले राष्ट्रपतिलाई बर्खास्त गरेको छ,युक्रेनको संसदले राष्ट्रपतिलाई बर्खास्त गर्ने पक्षमा मतदान गरेको छ,4.0
भेनेजुएलाका सांसदहरू चुनावी तनावका बीच झगडा गर्छन्,भेनेजुएलाका सांसदहरू चुनावलाई लिएर झगडा गर्छन्,5.0
उत्तर कोरियाले दक्षिणमा रहेका विदेशीहरूलाई बाहिर निस्कन सल्लाह दियो,उत्तर कोरियाले दक्षिणमा रहेका विदेशीहरूलाई बाहिर निकाल्न चेतावनी दिएको छ,5.0
दक्षिण कोरियाली डुंगाका क्याप्टेन पक्राउ,दक्षिण कोरियाली डुंगा डुबेका क्याप्टेन पक्राउ,4.0
I-5 पुल भत्किएपछि कार र चालक नदीमा डुबे,अमेरिकी पुल भत्किँदा कारहरू नदीमा खसेका छन्,3.0
सिरियामा मृत्यु हुनेको संख्या अहिले १० लाख नाघेको छ,सिरियामा हालसम्म एक लाखभन्दा बढीको मृत्यु भएको छ,5.0
फिलिपिन्समा कम्युनिस्ट विद्रोहीले प्रहरीमाथि आक्रमण गर्दा ७ जनाको मृत्यु भएको छ,कम्युनिस्ट विद्रोहीले फिलिपिन्सका आठ प्रहरीको हत्या गरेका छन्,4.0
इजिप्टका मोर्सीलाई जेल तोड्ने र हत्या गरेको अभियोगमा मुद्दा चलिरहेको अभियोजन पक्षले जनाएको छ,इजिप्टका मोर्सी जेल तोडेको मुद्दाको सामना गर्दै छन्,3.0
इरान आणविक वार्ता तेस्रो दिनमा प्रवेश,इरान आणविक वार्ता निर्णायक तेस्रो दिनमा प्रवेश गरेको छ,5.0
थाई सेनाले मार्शल ल घोषणा गर्‍यो,"थाइल्यान्डको सेनाले मार्शल ल घोषणा गर्‍यो, कूलाई अस्वीकार गर्‍यो",3.0
टेक्सासमा रोलर कोस्टरमा सवार एक महिलाको मृत्यु भएको छ,टेक्सासको मनोरञ्जन पार्कमा रोलर कोस्टरमा सवार महिलाको मृत्यु भएको छ,4.0
नोबेल लेखक डोरिस लेसिङको ९४ वर्षको उमेरमा निधन भएको छ,नोबेल पुरस्कार विजेता लेखिका डोरिस लेसिङको निधन भएको छ,4.0
मध्य फिलिपिन्समा आँधीका कारण एक सयभन्दा बढीको मृत्यु भएको छ,फिलिपिन्समा आँधीका कारण कम्तीमा १०० जनाको मृत्यु भएको छ,5.0
चेन्नईमा पहिलो हुलाक कार्यालय बचत बैंक एटीएम खुल्यो,भारतको पहिलो हुलाक कार्यालय बचत बैंक एटीएम चेन्नईमा उद्घाटन गरियो,4.0
इजरायल १२ घण्टाको युद्धविराममा सहमत,इजरायलले गाजामा २४ घण्टा युद्धविराम गर्न सहमति जनाएको छ,3.0
इन्डोनेसियाको सुमात्रामा ६.२ म्याग्निच्युडको भूकम्प - USGS,इन्डोनेसियाको टापुमा ६.९ म्याग्निच्युडको भूकम्प गएको छ,3.0
बेलायती स्टन्टम्यानको पखेटा सुट दुर्घटनामा मृत्यु भयो,आल्प्समा पिङसुट दुर्घटनामा बेलायती स्टन्टम्यानको मृत्यु,4.0
भारतलाई भोट के कारणले ? जयपुर लिट फेस्ट बहस,भारतलाई भोट के कारणले ? जयपुर लिटरेचर फेस्टिभलमा बहस,5.0
हङकङको लिलामीमा सेतो हीराले कीर्तिमान तोडेको छ,हङकङ लिलामीमा सेतो हीराको रेकर्ड ३४ मिलियन डलरमा,4.0
चिनियाँ स्याटेलाइटले खोज क्षेत्रमा ठूलो वस्तु फेला पारेको छ,मलेसिया : चिनियाँ भूउपग्रहले समुन्द्रमा वस्तु फेला पारेको छ,3.0
हमासले हिजबुल्लाहलाई सिरियाबाट लडाकुहरूलाई बाहिर निकाल्न आग्रह गरेको छ,हमासले सिरियाबाट सेना फिर्ता गर्न हिजबुल्लाहलाई आह्वान गरेको छ,5.0
अमेरिका र रुस सिरियाको रासायनिक हतियार सम्बन्धी सम्झौतामा पुगेका छन्,सिरियाको रासायनिक हतियार सम्बन्धी अमेरिका र रुसबीच भएको सम्झौताको चीनले स्वागत गरेको छ,3.0
"PSNI असफल RUC अधिकारीहरू, न्यायाधिकरणले भने",13:23 PSNI 'असफल RUC अधिकारी परिवार',4.0
खुद्रा आम्दानी पछि स्टक किनारा कम छ,खुद्रा बिक्रेताहरु बाट कमाई पछि स्टक किनारा कम छ,5.0
प्रहरीको हेलिकप्टर स्कटल्याण्डको पबमा दुर्घटना भएको छ,ग्लासगोमा प्रहरीको हेलिकप्टर बारको माथि दुर्घटनाग्रस्त भएको छ,4.0
संयुक्त राष्ट्रसंघले गाजा युद्धविरामको माग गरेपछि अमेरिकाले इजरायलमाथि दबाब बढाएको छ,अमेरिका र संयुक्त राष्ट्रसंघले गाजामा इजरायलमाथि दबाब बढाएका छन्,4.0
"अष्ट्रेलियाका प्रधानमन्त्री भन्छन्, 'धेरै आत्मविश्वासी' संकेतहरू ब्ल्याक बक्सबाट आएको हो",अस्ट्रेलियाली PM आत्मविश्वासी आवाजहरू उडान 370 बाट हो,4.0
मण्डेलाको स्वास्थ्यमा ‘सुधार’,पछिल्लो ४८ घण्टामा मण्डेलाको अवस्था नाजुक,1.0
फिलिप बेल्जियमको राजा बन्छ,फिलिप विभाजित बेल्जियमको सिंहासनमा चढ्छन्,4.0
भारतको भ्रष्टाचार विरोधी पार्टीले नयाँ दिल्लीमा जिम्मेवारी लिएको छ,भारतको भ्रष्टाचार विरोधी पार्टीले दिल्लीमा सरकार गठन गरेको छ,4.0
स्पेनले नयाँ प्रतिबन्धात्मक गर्भपतन कानूनलाई अनुमोदन गरेको छ,स्पेनी सरकारले गर्भपतनमा कडा प्रतिबन्धलाई अनुमोदन गरेको छ,5.0
ओबामाले सिरियामा भएको ग्यास आक्रमणको छानबिन गर्न आदेश दिएका छन्,संयुक्त राष्ट्रसंघले सिरियामा भएको ग्यास आक्रमणको निरीक्षण गर्न आग्रह गरेको छ,2.0
एथेन्समा जर्मन राजदूतको निवासमा गोली प्रहार भएको छ,एथेन्सस्थित जर्मन राजदूतको निवासमा गोली प्रहार भएको छ,5.0
युक्रेनका जेलमा रहेका विपक्षी नेता टिमोशेन्को रिहा भएका छन्,युक्रेनका विपक्षी प्रमुखले थप विरोध प्रदर्शन गर्न चाहेका छन्,2.0
ओक्लाहोमाले बोच गरिएको कार्यान्वयनमा के गल्ती भयो भनेर जाँच गर्दछ,ओक्ला: फाँसी दिएपछि कैदीको हृदयघातबाट मृत्यु,3.0
इटालीको राष्ट्रपतिमा नेपोलिटानो दोस्रो कार्यकालका लागि निर्वाचित भएका छन्,इटालीको राष्ट्रपति नेपोलिटानो दोस्रो कार्यकालका लागि निर्वाचित भएका छन्,5.0
संयुक्त राष्ट्रसंघको अदालतले ६ बोस्नियाली क्रोएटलाई अत्याचार गरेको आरोपमा दोषी ठहर गरेको छ,संयुक्त राष्ट्र युद्ध अपराध अदालतले छ बोस्नियाली क्रोएट्सलाई दोषी ठहर गरेको छ,4.0
डेट्रोइट विमानस्थलमा प्रेसर कुकरसहित साउदी नागरिक पक्राउ परेका छन्,प्रेसर कुकर बोकेर यात्रा गर्ने साउदी नागरिक पक्राउ,4.0
उत्तर कोरियाले अमेरिकी नागरिकमाथि मुद्दा चलाउने बताएको छ,उत्तर कोरियाले हिरासतमा रहेका अमेरिकी पर्यटकलाई मुद्दाको सामना गर्नुपर्ने बताएको छ,5.0
थाइल्यान्डमा आन्दोलन हिंसात्मक बन्दै गएको छ,थाई आन्दोलनकारीहरूले आम हड्तालको आह्वान गरेका छन्,3.0
९५ जनाको ज्यान गएपछि इजिप्टमा संकटकाल लगाइएको छ,इजिप्टले देशव्यापी एक महिनाको आपतकाल घोषणा गरेको छ,3.0
र्‍यालीहरू 'ट्रेभोनको लागि न्याय' माग गर्दै,"अमेरिकाभरि, 'जस्टिस फर ट्रेभन' को लागि मानिसहरू जुलुस",4.0
सिरियाको होम्समा महिला र बालबालिकाको दुर्दशाबारे संयुक्त राष्ट्रसंघले चेतावनी दिएको छ,"युनिसेफले होम्समा महिला, बालबालिकालाई तत्काल सुरक्षित पहुँचको लागि आह्वान गरेको छ",3.0
रक्षा बजेटलाई लिएर हेगल र डेम्प्सी कांग्रेसको सामना गर्दै,"हेगलले अमेरिकी रक्षा बजेटमा ""राजनीतिक"" परिवर्तनको बारेमा दुःख व्यक्त गरे",4.0
सोनीले पीसी एकाइ बेच्ने र जागिर कटौती गर्ने,प्रमुख व्यापार ओवरहालमा सोनीले पीसी एकाइलाई एक्स्क्स गर्यो,3.0
क्यालिफोर्नियामा प्रहरीले गोली हानी हत्या गर्नुअघि एक व्यक्तिले ४ जनाको हत्या गरेको छ,प्रहरी: क्यालिफोर्नियामा बन्दुकधारीले गोली चलाउँदा ६ जनाको मृत्यु भएको छ,2.0
उत्तर कोरियाले वृद्ध अमेरिकीलाई निर्वासित गर्छ,उत्तर कोरियाले हिरासतमा रहेका अमेरिकी युद्धका दिग्गजलाई निर्वासित गरेको छ,2.0
खोजी नेताले हराएको मलेशियन जेटलाइनरसँग सम्बन्धित खोजहरूमा सावधानी अपनाउन आग्रह गर्दछ,हराएको मलेशियन एयरलाइनरबाट पिंगहरू आउने आशा गरिरहेका खोजकर्ताहरू,1.0
मण्डेलाको परिवारले सम्झना गर्दै स्टेडियममा मेमोरियल सर्भिस गर्ने योजना बनाएको छ,मण्डेलाको परिवारले समर्थनको लागि राष्ट्र र विश्वलाई धन्यवाद दिन्छ,1.0
युक्रेनी राष्ट्रपतिले संकट वार्तामा सम्झौता भएको बताएका छन्,युक्रेनका प्रतिद्वन्द्वीहरूले संकट अन्त्य गर्न सम्झौतामा हस्ताक्षर गरे,4.0
ओबामाले सिरियामा सीमित सैन्य कारबाही गर्ने सोच बनाएका छन्,"ओबामाले सिरिया विरुद्ध सैन्य कारबाही गर्न आग्रह गरे, तर कांग्रेसको ठीक खोज्नेछन्",2.0
सिरियाका प्रधानमन्त्री हत्याको प्रयासबाट बच्न सफल भएको सरकारको भनाइ छ,सिरियाली प्रधानमन्त्री हत्याको प्रयासबाट जोगिए,4.0
जोर्डन संयुक्त राष्ट्र सुरक्षा परिषद्को साउदी सदस्यको लागि निर्वाचित भएको छ,साउदी अरेबियाले अस्वीकार गरेको संयुक्त राष्ट्र सुरक्षा परिषद्को सदस्यमा जोर्डन निर्वाचित भएको छ,3.0
इराकको मस्जिदमा भएको बम विस्फोटमा कम्तीमा १८ जनाको मृत्यु भएको छ,इराकको अन्त्येष्टिमा ६० भन्दा बढीको मृत्यु भएको छ,0.0
प्रहरीले G8 अगाडि बेलफास्टमा प्रदर्शनकारीहरूलाई घेरेको छ,बेलफास्टमा G8 विरोधी शान्तिपूर्ण विरोध प्रदर्शन,3.0
जर्ज Zimmerman Trayvon मार्टिन हत्या को दोषी पाएनन्,George Zimmerman Verdict ले केबल समाचारलाई Talkradio मोडमा बढाउँछ,1.0
"वाटरफोर्ड, डब्लिन तटबाट १० जनाको उद्धार गरिएको छ",डब्लिन खाडीमा डुङ्गा पल्टिँदा ६ जनाको उद्धार गरिएको छ,3.0
मण्डेला तेस्रो दिन अस्पतालमा बिताए,मण्डेला तेस्रो दिन अस्पतालमा,5.0
कायरोमा मुस्लिम ब्रदरहुडको कार्यालयमा झडप हुँदा एक जनाको मृत्यु भएको छ,इजिप्ट: मुस्लिम ब्रदरहुडको मुख्यालयमा प्रदर्शनकारीले आक्रमण गरेका छन्,2.0
ड्राइभिङ प्रतिबन्धको विरोधमा साउदी महिलाले प्रदर्शन गरेका छन्,साउदी महिलाहरु सानो समस्या संग विरोध मा ड्राइव,2.0
रुसी संसदले पुटिनलाई युक्रेनमा सेना प्रयोग गर्न अनुमति दिएको छ,राष्ट्रपति ओबामाले रुसलाई युक्रेनबाट टाढा रहन चेतावनी दिएका छन्,1.0
नेल्सन मण्डेला अस्पतालको रिपोर्ट ‘गलत’,नेल्सन मण्डेला अस्पताल बसाई पछि घर जान्छ,2.0
फेडले प्रोत्साहन कायम गर्ने आशामा विश्व स्टक बढेको छ,फेडले प्रोत्साहन कायम राख्ने अपेक्षा गरेको छ,1.0
प्रतिबन्धको युद्धमा कुनै विजेता छैन,रुसमाथि प्रतिबन्धको प्रभाव,1.0
नयाँ स्टेडियम मृत्युको कारण विश्व कप प्रभावित,विश्वकप स्टेडियममा कामदारको मृत्यु,3.0
टाटा नानो र अन्य भारतीय साना कारहरू दुर्घटना परीक्षणमा असफल हुन्छन्,विश्वकै सस्तो कारले कसरी गर्छ दुर्घटना परीक्षण ?,1.0
"ग्रीस ट्रोइकासँग सम्झौतामा पुग्छ, बेलआउट किस्ता दिन भित्रै अपेक्षित छ",ऋण निरीक्षकहरू ग्रीससँग सम्झौतामा पुग्छन्,3.0
मरेले बेलायती जितको ७७ वर्षको प्रतिक्षाको अन्त्य गरेका छन्,"मुर्रेले जिते विम्बल्डन उपाधि, बेलायतको ७७ वर्षको पीडाको अन्त्य",5.0
मलेसिया एयरलाइन्सको विमान युक्रेन र रुसको सिमानामा दुर्घटना भएको छ,अमेरिका: रुसले युक्रेनको सीमामा सेना परिचालन गरेको छ,0.0
अमेरिकाले सिरियाले प्रयोग गरेको रासायनिक हतियारको सीमा निर्धारण गर्ने,सिरियाको गृहयुद्धमा रासायनिक हतियारको बारेमा हामीलाई के थाहा छ,2.0
पाकिस्तानमा गोप्य युद्ध,दक्षिणपश्चिम पाकिस्तानमा नयाँ शक्तिशाली भूकम्प गएको छ,0.0
रुसका पुटिनले युक्रेनमाथि आक्रमण गर्ने अधिकार दाबी गरेका छन्,क्रेमलिन: पुटिनले युक्रेनमा रूसी सेना प्रयोग गर्ने बारे निर्णय गर्न बाँकी छ,2.0
वरिष्ठ CPC अधिकारीले DPRK नेताका विशेष दूतलाई भेटे,उत्तर कोरियाली नेताले चीनमा 'विशेष दूत' पठाए,3.0
टर्कीमा पार्कको विरोध अन्त्य भए पनि अशान्ति जारी छ,"टर्कीका प्रधानमन्त्री एर्दोगानले इस्तानबुल पार्क प्रदर्शनमा क्र्याकडाउन आदेश दिनु ""कर्तव्य"" भने",1.0
पोपले वातावरणीय मस्यौदामा जलवायु परिवर्तनमा कारबाही गर्न आह्वान गरे,पोपले वातावरणीय मस्यौदामा जलवायु परिवर्तनमा कारबाही गर्न आग्रह गरे,5.0
सिंगापुर शेयर बिहीबार 0.28% कम खुल्यो,सिंगापुरको सेयर बिहीबार ०.१९% बढेर खुल्यो,2.0
को हुन् जिहादी जोन ?,'जिहादी जोन' को थिए?,5.0
अक्टोबर 4 मा प्रमुख इरानी समाचार पत्रहरूमा हेडलाइनहरू,अक्टोबर १९ मा धेरै इरानी अखबारहरूमा हेडलाइनहरू,2.0
अमेरिकी महान्यायाधिवक्ता होल्डरले राजीनामा दिएका छन्,अमेरिकी महान्यायाधिवक्ता एरिक होल्डरले राजीनामा दिने भएका छन्,4.0
"रुसमाथि अमेरिका, ईयूले थप प्रतिबन्ध लगाएको छ","अमेरिका, युरोपेली संघले रुसमाथि प्रतिबन्ध लगाएको छ",5.0
दिउँसो २:३० बजेको एशियाली समाचार । GMT,शीर्ष एशियाली समाचार 1:25 अपराह्न GMT,1.0
कसरी डाउ जोन्स औद्योगिक औसत बुधबार गर्यो,सोमबार कसरी डाउ जोन्स औद्योगिक औसत प्रदर्शन भयो,2.0
"क्रेन भत्किने बावजुद हज अघि बढ्ने, अधिकारीहरूले वाचा गरे",क्रेन भत्किँदा पनि हज अघि बढ्ने,4.0
युएस हाउस रिपब्लिकनले पल रायनलाई स्पिकरमा निर्वाचित गरेका छन्,यूएस हाउस रिपब्लिकनहरूले स्पिकरका लागि रायनलाई अनिच्छुक देखाउँछन्,3.0
अपरान्ह ४:०० का शीर्ष एशियाली समाचार। GMT,शीर्ष एशियाई समाचार 8:39 बजे GMT,3.0
सिंगापुरको शेयर बुधबार ०.८३% माथि खुल्यो,सिंगापुरको शेयर मंगलबार ०.०६% कम खुल्यो,1.0
चीनको ट्रेजरी बन्ड फ्युचर्स मंगलबार उच्च खुल्यो,चीन ट्रेजरी बन्ड फ्यूचर्स बुधबार मिश्रित बन्द भयो,1.0
अमेरिकी महान्यायाधिवक्ता होल्डरले राजीनामा दिएका छन्,महान्यायाधिवक्ता एरिक होल्डरले राजीनामा दिने,5.0
सेप्टेम्बर २७ मा प्रमुख इरानी अखबारहरूमा हेडलाइनहरू,अक्टोबर १९ मा धेरै इरानी अखबारहरूमा हेडलाइनहरू,3.0
कलमेगी आँधीका कारण चीनमा उच्च सतर्कता,चीनले कलमेगी आँधीका लागि पहेंलो चेतावनी जारी गरेको छ,4.0
साउदी नेतृत्वको हवाई आक्रमणले यमनको राजधानीमा आक्रमण गरेको छ,यमनको राजधानीमा साउदीको हवाई आक्रमणमा २९ जनाको मृत्यु भएको छ,3.0
मालीले जिहादी नाइटक्लब हत्याराहरूको खोजी गर्छ,मालीले जिहादी नाइटक्लबका हत्याराहरूको खोजी गरिरहेको बेला लडाकूहरूले संयुक्त राष्ट्रसंघमा आक्रमण गरे,3.0
नेपालमा ७.३ रेक्टर स्केलको भूकम्प गएको छ,इन्डोनेसियामा ६.६ म्याग्निच्युडको भूकम्प गएको छ,1.0
अमेरिकी बजारमा उछाल आएको टोकियोको सेयर बजारमा उकालो लागेको छ,टोकियो शेयरले उच्च ट्रेसिङ अमेरिकी लाभ खोल्यो,4.0
इरानको संसदले आणविक सम्झौतालाई समर्थन गरेको छ,इरानका कट्टरपन्थीहरूले आणविक सम्झौतामाथि आक्रमण गरेका छन्,1.0
हवाई 22 वर्षमा पहिलो आँधीको लागि तयारी गर्दै,22 वर्षमा पहिलो आँधीको रूपमा हवाई ब्रेसिङ नजिक छ,5.0
इराकमा भएको बम आक्रमणमा कम्तीमा २६ जनाको मृत्यु भएको छ,इराकमा आत्मघाती बम आक्रमणमा परी कम्तीमा १२ जनाको मृत्यु भएको छ,2.0
इबोला लकडाउनमा सियरा लियोन,सियरा लियोन इबोला लकडाउनको अन्तिम दिनमा पुग्यो,3.0
अमेरिकी बजारमा टोकियोको शेयरको मूल्य उकालो लागेको छ,टोकियोको शेयर अमेरिकी बलियो प्रदर्शन पछि उच्च खुल्यो,4.0
"दक्षिण पश्चिम चीनमा कार दुर्घटनामा ४ जनाको मृत्यु, धेरै घाइते","राईविण्डमा सडक दुर्घटनामा दुई जनाको मृत्यु, १७ जना घाइते",0.0
भूमध्यसागरमा रहेका ३ हजार ४०० भन्दा बढी आप्रवासीहरुको उद्धार गरिएको छ,भूमध्यसागरमा काठको डुङ्गाबाट २ हजार बढी आप्रवासीको उद्धार गरिएको छ,3.0
लुइस ह्यामिल्टनले रूसी जीपीको लागि पोल लिन्छ,लुइस ह्यामिल्टनले उद्घाटन रूसी जीपी जितेका छन्,4.0
संयुक्त राष्ट्र सुरक्षा परिषद्ले यमनका राजदूतको अन्तिम सुनुवाइ...,संयुक्त राष्ट्र सुरक्षा परिषद्ले यमनका हुथी विद्रोहीलाई अन्त्य गर्न आग्रह...,2.0
"इजरायली सेनाले रातभर २१ प्यालेस्टाइनीलाई पक्राउ गरेको छ, स्थानीयहरूसँग झडप",इजरायली सुरक्षा बलले वेस्ट बैंकमा रातभरी ८ प्यालेस्टाइनीलाई पक्राउ गरेको छ,1.0
"पूर्वी चीनमा सडक दुर्घटनामा ४ जनाको मृत्यु, ३ घाइते","मध्य इजरायलमा ट्राफिक दुर्घटनामा २ जनाको मृत्यु, ८ घाइते",0.0
मार्केट लाइभ: चीन डाटाको लागि पर्खँदै,बजार लाइभ: चीन तान्यो,2.0
जेरुसेलमको अल अक्सामा प्यालेस्टिनी र इजरायली प्रहरीबीच झडप भएको छ,पूर्वी जेरुसेलममा इजरायली प्रहरीले गोली हानेर प्यालेस्टिनीको मृत्यु भएको छ,2.0
नाइजेरियामा बोको हरामको संदिग्ध आत्मघाती हमलाकारीले २४ जनाको ज्यान लिएको छ,नाइजेरियामा बोको हरामको संदिग्ध आक्रमणमा दर्जनौंको मृत्यु भएको छ,4.0
हङकङको आन्दोलनको अन्त्य ?,हङकङको विरोध प्रदर्शनप्रति बेलायत ‘चिन्तित’,2.0
रुसी लडाकु विमानले सिरियामा आक्रमण गरेको छ,सिरिया मा रूसी रूलेट,2.0
ट्युनिसियाको संग्रहालयमा आक्रमणकारी बन्दुकधारीको सीसीटीभी,ट्युनिसको संग्रहालयमा आक्रमण हुँदा १९ जनाको मृत्यु भएको छ,1.0
लाइभ ब्लग: युक्रेन संकटमा,प्रत्यक्ष ब्लग: इराक उथलपुथलमा,0.0
नाइजेरियामा कडा राष्ट्रपति चुनावमा मतदान,गिनीहरू राष्ट्रपति चुनावमा मतदानमा जान्छन्,2.0
प्रिन्स विलियम जापान भ्रमणमा समुराई गियर डन,बेलायतका राजकुमार विलियम बेइजिङ आइपुगेका छन्,2.0
माइक्रोनेसियाका उपराष्ट्रपति चीन भ्रमणमा जाने भएका छन्,बोलिभियाका उपराष्ट्रपति चीन भ्रमणमा जाने भएका छन्,2.0
इस्लामिक स्टेटले अमेरिकी बन्धकको शिर काटेको भिडियो सार्वजनिक गरेको छ,इस्लामिक स्टेटले युके बन्धकको दोस्रो प्रोपागान्डा भिडियो पोस्ट गर्‍यो,3.0
इरानले पाकिस्तानसँगको सहयोग सम्झौता अन्त्य गरेको छ,इरान र ताजकिस्तानले सहयोग सम्झौतामा हस्ताक्षर गरेका छन्,2.0
किशोरको इबोला परीक्षण नेगेटिभ आएको छ,टेक्सास अस्पतालका कर्मचारीमा इबोला पोजेटिभ देखिएको छ,1.0
टेक्सासले सिरियाली शरणार्थीमाथि मुद्दा दायर गरेको छ,टर्कीले सिरियाली शरणार्थीहरूको 'शोषण' गर्छ,1.0
नयाँ अमेरिकी प्रतिबन्धहरू विदेशी साइबर आक्रमणकारीहरूलाई लक्षित गर्दछ,चीन विदेशी साइबर आक्रमणकारीहरु मा अमेरिकी प्रतिबन्ध कार्यक्रम संग असहमत,2.0
